,loss,reconstruction_loss,kl_loss
0,23539500.0,23535512.0,3988.9248046875
1,13094377.0,13089301.0,5075.798828125
2,11651529.0,11642685.0,8844.392578125
3,10290492.0,10282652.0,7837.68017578125
4,8987442.0,8981163.0,6278.18603515625
5,8034524.0,8028169.0,6355.72119140625
6,7424411.0,7418487.0,5923.77734375
7,7038488.0,7032719.0,5768.724609375
8,6800091.0,6794605.5,5484.9033203125
9,6606247.0,6600978.5,5267.951171875
10,6435017.5,6429899.5,5116.955078125
11,6302525.0,6297556.5,4967.22900390625
12,6156743.5,6151828.0,4915.90771484375
13,6021575.5,6016550.0,5026.64599609375
14,5900169.0,5895047.5,5119.716796875
15,5793759.0,5788650.0,5109.25927734375
16,5705683.0,5700599.5,5082.3076171875
17,5631816.5,5626777.0,5038.08154296875
18,5544457.5,5539334.5,5122.59814453125
19,5472857.0,5467684.0,5171.5615234375
20,5411640.0,5406373.5,5265.822265625
21,5344731.0,5339372.5,5357.2919921875
22,5252406.5,5246802.0,5604.58984375
23,5196130.0,5190429.5,5700.58984375
24,5134688.0,5128833.5,5855.83349609375
25,5088517.5,5082564.5,5951.6923828125
26,5040464.5,5034490.0,5974.76611328125
27,4985388.5,4979335.5,6052.4443359375
28,4928096.0,4921921.0,6176.23974609375
29,4880348.0,4874125.0,6223.0244140625
30,4816066.0,4809737.0,6328.23583984375
31,4762379.5,4755982.5,6397.9951171875
32,4719715.0,4713337.5,6375.68701171875
33,4665718.0,4659306.5,6412.0380859375
34,4635338.5,4628903.0,6437.79052734375
35,4606216.5,4599707.0,6509.333984375
36,4564274.0,4557765.0,6507.751953125
37,4535690.5,4529174.5,6516.77197265625
38,4486780.0,4480184.0,6597.37353515625
39,4462287.0,4455703.5,6582.64453125
40,4428079.0,4421452.0,6626.99169921875
41,4425497.5,4418983.0,6515.0029296875
42,4374655.5,4368011.5,6644.50390625
43,4362339.5,4355766.5,6571.75390625
44,4334813.5,4328156.0,6657.42626953125
45,4306886.0,4300220.0,6667.6279296875
46,4289102.5,4282386.0,6715.9951171875
47,4273216.0,4266512.5,6704.34423828125
48,4264185.5,4257505.5,6679.74072265625
49,4227331.0,4220584.5,6747.7822265625
50,4220901.0,4214174.0,6728.52294921875
51,4221538.5,4215046.0,6491.0712890625
52,4164797.0,4158207.0,6590.041015625
53,4151788.5,4145200.5,6587.4228515625
54,4136233.75,4129663.75,6570.53271484375
55,4123770.75,4117227.25,6543.5986328125
56,4110916.25,4104414.5,6501.08740234375
57,4093340.5,4086861.5,6478.89453125
58,4081956.75,4075512.0,6445.017578125
59,4063450.75,4057051.5,6398.58544921875
60,4060464.5,4054088.5,6374.98583984375
61,4052610.0,4046312.5,6297.271484375
62,4025766.5,4019437.0,6328.6318359375
63,4017949.25,4011639.5,6309.49072265625
64,4022238.0,4016044.5,6193.7216796875
65,3995585.0,3989342.5,6241.4931640625
66,4002474.0,3996312.5,6161.3720703125
67,3976744.0,3970535.0,6208.525390625
68,3970573.0,3964415.25,6157.71435546875
69,3984472.0,3978459.75,6011.82666015625
